source	target	distance_nm
ALVA	MABI	913.50
ALVA	MABS	847.58
ALVA	MABU	913.50
ALVA	MACH	913.50
ALVA	MALC	912.94
ALVA	MAMG	913.50
ALVA	MANM	913.50
ALVA	MAPB	913.50
ALVA	MAUM	882.38
ALVA	MDJH	602.19
ALVA	MDUM	602.19
ALVA	MEMC	984.48
ALVA	MIBH	566.10
ALVA	MICH	558.59
ALVA	MIDV	570.09
ALVA	MIHF	558.59
ALVA	MISH	570.09
ALVA	MISJ	558.59
ALVA	MISM	570.09
ALVA	MIUM	546.05
ALVA	MNAN	750.86
ALVA	MNCM	750.86
ALVA	MNHC	750.86
ALVA	MNMC	684.34
ALVA	MNUM	750.86
ALVA	MOBH	348.28
ALVA	MOCG	348.28
ALVA	MOCH	348.28
ALVA	MOCM	503.94
ALVA	MOLH	503.94
ALVA	MORH	503.94
ALVA	MOSL	348.28
ALVA	MOUM	422.30
ALVA	MSUM	185.70
ALVA	NCBG	358.77
ALVA	NCCM	312.88
ALVA	NCDU	417.42
ALVA	NCEC	483.19
ALVA	NCMH	408.72
ALVA	NDMC	1021.63
ALVA	NDSL	922.82
ALVA	NECH	637.00
ALVA	NEUN	637.00
ALVA	NHDH	912.77
ALVA	NJBI	743.37
ALVA	NJHK	753.24
ALVA	NJLL	681.59
ALVA	NJRW	724.66
ALVA	NJSB	739.78
ALVA	NJUH	743.37
ALVA	NMAQ	988.40
ALVA	NMPH	988.40
ALVA	NVUM	1402.39
ALVA	NYAM	824.22
ALVA	NYCC	756.08
ALVA	NYCP	749.12
ALVA	NYDS	749.46
ALVA	NYEC	675.33
ALVA	NYFL	722.30
ALVA	NYMA	758.25
ALVA	NYMS	749.12
ALVA	NYNS	763.67
ALVA	NYNY	749.12
ALVA	NYSB	789.51
ALVA	NYUC	749.12
ALVA	NYUM	760.76
ALVA	NYVA	758.25
ALVA	NYWC	769.45
ALVA	OHCC	537.66
ALVA	OHCH	428.20
ALVA	OHCM	353.28
ALVA	OHCO	512.85
ALVA	OHOU	428.20
ALVA	OHTC	353.28
ALVA	OHUC	353.28
ALVA	OHUH	537.66
ALVA	OKBC	543.31
ALVA	OKCM	543.31
ALVA	OKMD	543.31
ALVA	OKSJ	480.05
ALVA	ORGS	1794.07
ALVA	ORSV	1794.07
ALVA	ORUO	1794.07
ALVA	ORVA	1794.07
ALVA	PAAE	680.11
ALVA	PAAG	528.84
ALVA	PACH	528.84
ALVA	PACP	680.11
ALVA	PAGM	660.97
ALVA	PAHE	634.41
ALVA	PAHH	625.09
ALVA	PAHM	680.11
ALVA	PALV	689.37
ALVA	PAPH	607.37
ALVA	PAPT	528.84
ALVA	PASC	680.11
ALVA	PATJ	680.11
ALVA	PATU	680.11
ALVA	PAUP	680.11
ALVA	PAVA	528.84
ALVA	PRCC	1432.85
ALVA	PRSJ	1437.34
ALVA	RIRH	883.96
ALVA	SCCH	348.07
ALVA	SCLA	308.63
ALVA	SCMU	348.07
ALVA	SCPG	233.10
ALVA	SDMK	761.11
ALVA	SDSV	761.11
ALVA	TNBM	188.55
ALVA	TNEM	117.90
ALVA	TNLB	188.55
ALVA	TNMH	188.55
ALVA	TNST	158.79
ALVA	TNUK	204.34
ALVA	TNVU	158.79
ALVA	TXAS	531.80
ALVA	TXBC	647.52
ALVA	TXCF	531.80
ALVA	TXCM	504.77
ALVA	TXCT	591.17
ALVA	TXDC	647.75
ALVA	TXDL	591.17
ALVA	TXDM	591.17
ALVA	TXDR	733.09
ALVA	TXDS	591.17
ALVA	TXFW	531.80
ALVA	TXHD	504.77
ALVA	TXHH	492.96
ALVA	TXHI	492.96
ALVA	TXHS	647.52
ALVA	TXJS	481.66
ALVA	TXLM	752.98
ALVA	TXLP	1000.45
ALVA	TXMC	504.77
ALVA	TXMH	492.96
ALVA	TXPL	531.80
ALVA	TXPM	504.77
ALVA	TXSP	504.77
ALVA	TXSW	556.56
ALVA	TXTC	492.96
ALVA	TXTX	504.77
ALVA	TXUC	647.52
ALVA	TXVA	492.96
ALVA	UTLD	1271.84
ALVA	UTMC	1272.91
ALVA	UTPC	1272.91
ALVA	VACH	553.46
ALVA	VAFH	567.02
ALVA	VAHD	517.65
ALVA	VAMC	517.65
ALVA	VAMV	517.65
ALVA	VANG	553.46
ALVA	VAUV	487.84
ALVA	VTMC	912.28
ALVA	WACH	1808.28
ALVA	WASH	1619.87
ALVA	WASM	1808.28
ALVA	WAUW	1808.28
ALVA	WAVM	1808.28
ALVA	WICH	574.48
ALVA	WISE	574.48
ALVA	WISL	574.48
ALVA	WIUW	586.97
ALVA	WVCA	384.01
ALVA	WVWU	493.71
ARBH	ALCH	282.74
ARBH	ALUA	282.74
ARBH	ALVA	282.74
ARBH	ARCH	0.00
ARBH	ARUA	0.00
ARBH	AZCH	986.28
ARBH	AZGS	986.28
ARBH	AZMC	986.28
